id,question,category
81,"¿Qué animal elegirías ser durante una semana?",Animales
82,"¿De cuál animal huirías corriendo sin pensarlo dos veces?",Animales
83,"¿Qué habilidad de un animal te gustaría tener?",Animales
84,"¿Con qué animal harías un viaje por carretera?",Animales
85,"¿Cuál es el animal que más te asustaría cruzarte en la selva?",Animales
87,"¿Cuál sería tu mascota si fuera legal cualquier animal?",Animales
88,"¿Qué animal crees que sería el mejor profesor?",Animales
89,"¿Cuál es el animal más infravaluado que existe?",Animales
90,"¿Qué criatura elegirías para cambiar tu forma por un mes?",Animales
91,"¿Qué habilidad animal adoptarías como superpoder?",Animales
92,"¿Cuál es el animal que la gente subestima más?",Animales
93,"¿Qué animal te gustaría que pudiera hablar?",Animales
94,"¿Con qué animal te gustaría trabajar profesionalmente?",Animales
95,"¿Cuál es la característica animal que más envidas?",Animales
96,"¿Qué animal crees que sería mejor cocinando?",Animales
97,"¿Cuál sería tu equipo de animales para ganar un reality show?",Animales
98,"¿Qué animal te enseñaría la mejor lección de vida?",Animales
99,"¿En qué especie te gustaría reencarnarte si volvieras a nacer?",Animales
100,"¿Cuál es el animal que más admirabas cuando eras niño?",Animales
119,"¿Qué animal doméstico llevarías como tu mejor aliado en la supervivencia?",Animales
1,"¿Qué objeto conseguirías volar con tu mente si tuvieras superpoderes?",Cosas
5,"¿Si pudieras hacer levitar una sola cosa para siempre cuál sería?",Cosas
6,"¿Qué parte de tu cuerpo mejorarías con poderes?",Cosas
7,"¿Para qué usarías un poder de teleportación?",Cosas
8,"¿Qué profesión sería más fácil con superpoderes?",Cosas
11,"¿Qué cosa imposible intentarías si fueras invulnerable?",Cosas
17,"¿Qué habilidad especial te gustaría tener para cocinar?",Cosas
19,"¿Qué cosa desaparecería para siempre con tu poder?",Cosas
20,"¿Cuál sería el poder más ridículo que usarías para ganar dinero?",Cosas
41,"¿Cuál es la habilidad más ridícula en la que eres experto?",Cosas
42,"¿Qué cosa lograste dominar que nadie pidió que aprendieras?",Cosas
44,"¿Qué talento tienes que es perfectamente inútil pero impresionante?",Cosas
46,"¿Qué cosa extraña dominarías si tuvieras 1000 horas libres?",Cosas
48,"¿Qué habilidad ridícula serías capaz de enseñar a otros?",Cosas
50,"¿Qué destreza absurda practicarías todos los días si pudieras?",Cosas
51,"¿Cuál es la habilidad que desarrollaste completamente por accidente?",Cosas
55,"¿Qué cosa lograste hacer que probablemente nadie en el mundo pueda?",Cosas
56,"¿Qué truco de magia casero dominarías si tuvieras tiempo?",Cosas
57,"¿Cuál sería tu récord Guinness más absurdo?",Cosas
58,"¿Qué lengua muerta aprenderías solo por diversión?",Cosas
59,"¿Qué destreza completamente innecesaria te enorgullece dominar?",Cosas
60,"¿Cuál es la habilidad que dominas pero nadie sabe?",Cosas
61,"¿Qué sección del supermercado visitarías primero si fuera gratis todo?",Cosas
62,"¿Cuál es la compra más vergonzosa que hiciste de noche?",Cosas
63,"¿Qué producto del supermercado desaparecería y sería caótico?",Cosas
64,"¿Cuál es el snack más raro que comprarías sin culpa?",Cosas
65,"¿Qué comida de supermercado sorprenderías a la gente que probaste?",Cosas
66,"¿En qué pasillo pierdes más tiempo sin motivo?",Cosas
68,"¿Cuál es la mezcla más extraña de productos que compraste en el mismo viaje?",Cosas
69,"¿Qué bebida desaparecería y te moriría de sed?",Cosas
70,"¿Cuál es la marca que siempre compras aunque sea más cara?",Cosas
71,"¿Qué alimento del supermercado te trae recuerdos de infancia?",Cosas
72,"¿Cuál sería tu selección de dulces si solo pudieras elegir 3 cosas?",Cosas
73,"¿Qué artículo del supermercado te avergüenza comprar en público?",Cosas
74,"¿Cuál es el producto que siempre está agotado cuando lo necesitas?",Cosas
75,"¿Qué diferencia habría en tu vida si las papas fritas costaran 10 veces más?",Cosas
76,"¿Qué pasillo del supermercado recorres primero cuando llegas?",Cosas
77,"¿Qué fila de caja prefieres y por qué?",Cosas
78,"¿Cuál es la comida rápida que compras en el supermercado?",Cosas
79,"¿Qué sección oculta del supermercado frecuentas?",Cosas
80,"¿Cuál sería tu menú si solo pudieras comer productos del supermercado?",Cosas
101,"¿Si solo tienes un flotador de pato para sobrevivir en el mar qué harías?",Cosas
104,"¿Qué objeto random de tu casa usarías como brújula en el bosque?",Cosas
105,"¿Qué cosa del baño llevarías para sobrevivir en el desierto?",Cosas
108,"¿Con qué cosa de tu habitación construirías un refugio en el bosque?",Cosas
109,"¿Qué artículo de ropa usarías como señal de emergencia?",Cosas
112,"¿Qué comida de tu casa llevarías si quedas atrapado en el bosque?",Cosas
116,"¿Qué cosa de tu cocina sería tu mejor defensa si te persigue un oso?",Cosas
117,"¿Con qué cosa que tengas en el bolsillo crearías una herramienta útil?",Cosas
21,"¿Qué regalo le darías a un emperador antiguo en un amigo secreto?",Cosas
113,"¿Cuál sería tu snack favorito si solo pudieras comer eso para sobrevivir?",Cosas
27,"¿Qué prendas de vesti de hoy serian utilies si estas en el antiguo Egipto?",Cosas
33,"¿Qué cosa ridicula del futuro le mostrarías primero a un vikingo?",Cosas
28,"¿Tienes que mostrarle un sticker de Whatsapp a Jesus y los discipulos, cual elegirías?",Cosas
22,"¿Qué tipo de carne de la actualidad crees que le gustaría comer a un dinosaurio?",Cosas
31,"¿Qué tecnología usarías para convencer a los antiguos de que eres un dios?",Cosas
29,"¿Debes hacer que un inca deguste gastronomia ecuatoriana, que le haces probar?",Cosas
